Condition,Area,M_Mean,M_Min,M_Max,M_Int_Den,M_Raw_Int_Den,A_Mean,A_Min,A_Max,A_Int_Den,A_Raw_Int_Den,M_A_Ratio
CHIP CON,NA,8626.247,5344,17264,64377680,64377680,6840.247,1504,19376,76993824,76993824,1.2611016824392451
CHIP CON,NA,8626.247,5344,17264,64377680,64377680,6617.122,1648,14896,62492096,62492096,1.3036252014093135
CHIP CON,NA,8626.247,5344,17264,64377680,64377680,9163.44,3504,28080,68386752,68386752,0.94137649179784
CHIP CON,NA,7221.184,4496,16336,72551232,72551232,6889.334,1376,26464,69217136,69217136,1.04816866187646
CHIP CON,NA,7221.184,4496,16336,72551232,72551232,11359.585,2912,27760,82777296,82777296,0.6356908284941748
CHIP CON,NA,7221.184,4496,16336,72551232,72551232,13090.019,2000,25472,152917600,152917600,0.5516557309809863
CHIP CON,NA,7221.184,4496,16336,72551232,72551232,7811.226,2224,23120,55897136,55897136,0.9244623059171506
CHIP CON,NA,7221.184,4496,16336,72551232,72551232,10642.327,2736,31776,170607152,170607152,0.6785343092727747
CHIP CON,NA,7933.233,5344,16768,57809472,57809472,6889.334,1376,26464,69217136,69217136,1.151523935405077
CHIP CON,NA,7933.233,5344,16768,57809472,57809472,11359.585,2912,27760,82777296,82777296,0.6983734881159832
CHIP CON,NA,7933.233,5344,16768,57809472,57809472,13090.019,2000,25472,152917600,152917600,0.6060520614981537
CHIP CON,NA,7933.233,5344,16768,57809472,57809472,7811.226,2224,23120,55897136,55897136,1.0156194430938243
CHIP CON,NA,7933.233,5344,16768,57809472,57809472,10642.327,2736,31776,170607152,170607152,0.7454415749487872
CHIP CON,NA,7742.741,4352,16144,90450704,90450704,6889.334,1376,26464,69217136,69217136,1.1238736574536814
CHIP CON,NA,7742.741,4352,16144,90450704,90450704,11359.585,2912,27760,82777296,82777296,0.6816042135342093
CHIP CON,NA,7742.741,4352,16144,90450704,90450704,13090.019,2000,25472,152917600,152917600,0.5914995998095953
CHIP CON,NA,7742.741,4352,16144,90450704,90450704,7811.226,2224,23120,55897136,55897136,0.9912324902646524
CHIP CON,NA,7742.741,4352,16144,90450704,90450704,10642.327,2736,31776,170607152,170607152,0.727542106157798
CHIP CON,NA,7367.276,4848,12672,52720224,52720224,6889.334,1376,26464,69217136,69217136,1.0693741949512101
CHIP CON,NA,7367.276,4848,12672,52720224,52720224,11359.585,2912,27760,82777296,82777296,0.6485515095841969
CHIP CON,NA,7367.276,4848,12672,52720224,52720224,13090.019,2000,25472,152917600,152917600,0.562816295377417
CHIP CON,NA,7367.276,4848,12672,52720224,52720224,7811.226,2224,23120,55897136,55897136,0.9431651318243769
CHIP CON,NA,7367.276,4848,12672,52720224,52720224,10642.327,2736,31776,170607152,170607152,0.6922617581662357
CHIP CON,NA,8742.595,4992,65504,140152544,140152544,6889.334,1376,26464,69217136,69217136,1.2690043769107433
CHIP CON,NA,8742.595,4992,65504,140152544,140152544,11359.585,2912,27760,82777296,82777296,0.7696227459013688
CHIP CON,NA,8742.595,4992,65504,140152544,140152544,13090.019,2000,25472,152917600,152917600,0.6678825294294836
CHIP CON,NA,8742.595,4992,65504,140152544,140152544,7811.226,2224,23120,55897136,55897136,1.1192346758370582
CHIP CON,NA,8742.595,4992,65504,140152544,140152544,10642.327,2736,31776,170607152,170607152,0.8214927994601181
CHIP CON,NA,6867.35,4560,12288,75341696,75341696,7113.055,2992,19376,78037328,78037328,0.9654571769795116
CHIP CON,NA,6867.35,4560,12288,75341696,75341696,11485.93,2704,39088,84088496,84088496,0.5978923778919077
CHIP CON,NA,6867.35,4560,12288,75341696,75341696,8228.768,1600,25184,107969664,107969664,0.8345538481580719
CHIP CON,NA,6867.35,4560,12288,75341696,75341696,5171.051,1728,13552,75657648,75657648,1.328037569151803
CHIP CON,NA,6867.35,4560,12288,75341696,75341696,9426.016,2624,24032,85362000,85362000,0.7285527629064071
CHIP CON,NA,8206.219,5232,65504,60077728,60077728,7113.055,2992,19376,78037328,78037328,1.1536841764895673
CHIP CON,NA,8206.219,5232,65504,60077728,60077728,11485.93,2704,39088,84088496,84088496,0.7144583851721192
CHIP CON,NA,8206.219,5232,65504,60077728,60077728,8228.768,1600,25184,107969664,107969664,0.9972597356007605
CHIP CON,NA,8206.219,5232,65504,60077728,60077728,5171.051,1728,13552,75657648,75657648,1.58695379333911
CHIP CON,NA,8206.219,5232,65504,60077728,60077728,9426.016,2624,24032,85362000,85362000,0.8705925175599107
CHIP CON,NA,7169.44,4640,13904,94070224,94070224,7113.055,2992,19376,78037328,78037328,1.0079269737124201
CHIP CON,NA,7169.44,4640,13904,94070224,94070224,11485.93,2704,39088,84088496,84088496,0.6241932520919071
CHIP CON,NA,7169.44,4640,13904,94070224,94070224,8228.768,1600,25184,107969664,107969664,0.8712652975512251
CHIP CON,NA,7169.44,4640,13904,94070224,94070224,5171.051,1728,13552,75657648,75657648,1.386457027787968
CHIP CON,NA,7169.44,4640,13904,94070224,94070224,9426.016,2624,24032,85362000,85362000,0.7606012975153024
CHIP CON,NA,6723.563,4432,16272,98372448,98372448,7113.055,2992,19376,78037328,78037328,0.9452426559333507
CHIP CON,NA,6723.563,4432,16272,98372448,98372448,11485.93,2704,39088,84088496,84088496,0.5853738443469532
CHIP CON,NA,6723.563,4432,16272,98372448,98372448,8228.768,1600,25184,107969664,107969664,0.8170801510019483
CHIP CON,NA,6723.563,4432,16272,98372448,98372448,5171.051,1728,13552,75657648,75657648,1.3002314229737821
CHIP CON,NA,6723.563,4432,16272,98372448,98372448,9426.016,2624,24032,85362000,85362000,0.7132984921731514
CHIP CON,NA,8212.21,5408,16064,74369776,74369776,7113.055,2992,19376,78037328,78037328,1.1545264306265028
CHIP CON,NA,8212.21,5408,16064,74369776,74369776,11485.93,2704,39088,84088496,84088496,0.7149799798536121
CHIP CON,NA,8212.21,5408,16064,74369776,74369776,8228.768,1600,25184,107969664,107969664,0.9979877911249897
CHIP CON,NA,8212.21,5408,16064,74369776,74369776,5171.051,1728,13552,75657648,75657648,1.5881123585901586
CHIP CON,NA,8212.21,5408,16064,74369776,74369776,9426.016,2624,24032,85362000,85362000,0.8712280989126264
CHIP CON,NA,8842.13,4672,64512,109757360,109757360,15658.639,2976,58416,194370688,194370688,0.5646806213490202
CHIP CON,NA,8842.13,4672,64512,109757360,109757360,10817.954,3152,29248,79457872,79457872,0.8173569604751508
CHIP CON,NA,8842.13,4672,64512,109757360,109757360,6459.157,2848,22336,43127792,43127792,1.3689294129249372
CHIP CON,NA,8842.13,4672,64512,109757360,109757360,4095.464,1344,22304,37391584,37391584,2.1590056706639342
CHIP CON,NA,8842.13,4672,64512,109757360,109757360,7716.17,2432,27312,58349680,58349680,1.1459221349451865
CHIP CON,NA,7824.941,5088,15120,57474192,57474192,15658.639,2976,58416,194370688,194370688,0.49972037799709157
CHIP CON,NA,7824.941,5088,15120,57474192,57474192,10817.954,3152,29248,79457872,79457872,0.7233291064095854
CHIP CON,NA,7824.941,5088,15120,57474192,57474192,6459.157,2848,22336,43127792,43127792,1.2114492649737418
CHIP CON,NA,7824.941,5088,15120,57474192,57474192,4095.464,1344,22304,37391584,37391584,1.910636010962372
CHIP CON,NA,7824.941,5088,15120,57474192,57474192,7716.17,2432,27312,58349680,58349680,1.0140965012434926
CHIP CON,NA,6953.281,4720,14304,46427056,46427056,15658.639,2976,58416,194370688,194370688,0.4440539819584576
CHIP CON,NA,6953.281,4720,14304,46427056,46427056,10817.954,3152,29248,79457872,79457872,0.6427537961429676
CHIP CON,NA,6953.281,4720,14304,46427056,46427056,6459.157,2848,22336,43127792,43127792,1.0764997661459537
CHIP CON,NA,6953.281,4720,14304,46427056,46427056,4095.464,1344,22304,37391584,37391584,1.6978005422584597
CHIP CON,NA,6953.281,4720,14304,46427056,46427056,7716.17,2432,27312,58349680,58349680,0.9011311311181583
CHIP CON,NA,6675.249,4640,12528,60945024,60945024,15658.639,2976,58416,194370688,194370688,0.4262981603956768
CHIP CON,NA,6675.249,4640,12528,60945024,60945024,10817.954,3152,29248,79457872,79457872,0.617052817935813
CHIP CON,NA,6675.249,4640,12528,60945024,60945024,6459.157,2848,22336,43127792,43127792,1.033455139734179
CHIP CON,NA,6675.249,4640,12528,60945024,60945024,4095.464,1344,22304,37391584,37391584,1.6299127522546895
CHIP CON,NA,6675.249,4640,12528,60945024,60945024,7716.17,2432,27312,58349680,58349680,0.8650987471763841
CHIP CON,NA,7921.204,5232,16736,59900144,59900144,15658.639,2976,58416,194370688,194370688,0.5058679748603949
CHIP CON,NA,7921.204,5232,16736,59900144,59900144,10817.954,3152,29248,79457872,79457872,0.7322275543046309
CHIP CON,NA,7921.204,5232,16736,59900144,59900144,6459.157,2848,22336,43127792,43127792,1.2263526029789955
CHIP CON,NA,7921.204,5232,16736,59900144,59900144,4095.464,1344,22304,37391584,37391584,1.9341407957681962
CHIP CON,NA,7921.204,5232,16736,59900144,59900144,7716.17,2432,27312,58349680,58349680,1.0265719910266362
CHIP CON,NA,7868.854,4864,16272,65720672,65720672,10626.481,3088,34912,88752368,88752368,0.7404948072649827
CHIP CON,NA,7868.854,4864,16272,65720672,65720672,15576.303,3072,46592,153925024,153925024,0.5051811074810243
CHIP CON,NA,7868.854,4864,16272,65720672,65720672,7838.983,1856,32640,72236224,72236224,1.003810570835528
CHIP CON,NA,7868.854,4864,16272,65720672,65720672,7118.739,3664,18016,42456160,42456160,1.1053718924095968
CHIP CON,NA,7868.854,4864,16272,65720672,65720672,10832.323,2160,26208,124485056,124485056,0.7264235012194522
CHIP CON,NA,8355.125,5088,19392,82565344,82565344,10626.481,3088,34912,88752368,88752368,0.786255111169916
CHIP CON,NA,8355.125,5088,19392,82565344,82565344,15576.303,3072,46592,153925024,153925024,0.5363997477450201
CHIP CON,NA,8355.125,5088,19392,82565344,82565344,7838.983,1856,32640,72236224,72236224,1.065842979886549
CHIP CON,NA,8355.125,5088,19392,82565344,82565344,7118.739,3664,18016,42456160,42456160,1.1736804790848492
CHIP CON,NA,8355.125,5088,19392,82565344,82565344,10832.323,2160,26208,124485056,124485056,0.7713142416451207
CHIP CON,NA,7782.876,4832,19184,71719200,71719200,10626.481,3088,34912,88752368,88752368,0.7324038879851195
CHIP CON,NA,7782.876,4832,19184,71719200,71719200,15576.303,3072,46592,153925024,153925024,0.4996613124436524
CHIP CON,NA,7782.876,4832,19184,71719200,71719200,7838.983,1856,32640,72236224,72236224,0.9928425664400599
CHIP CON,NA,7782.876,4832,19184,71719200,71719200,7118.739,3664,18016,42456160,42456160,1.0932941915696026
CHIP CON,NA,7782.876,4832,19184,71719200,71719200,10832.323,2160,26208,124485056,124485056,0.7184863302174428
CHIP CON,NA,6649.832,4592,14976,39659600,39659600,10626.481,3088,34912,88752368,88752368,0.6257793149020828
CHIP CON,NA,6649.832,4592,14976,39659600,39659600,15576.303,3072,46592,153925024,153925024,0.42691978963172456
CHIP CON,NA,6649.832,4592,14976,39659600,39659600,7838.983,1856,32640,72236224,72236224,0.8483028984754782
CHIP CON,NA,6649.832,4592,14976,39659600,39659600,7118.739,3664,18016,42456160,42456160,0.9341306093677547
CHIP CON,NA,6649.832,4592,14976,39659600,39659600,10832.323,2160,26208,124485056,124485056,0.6138878982836831
CHIP CON,NA,9967.229,4720,24672,114543392,114543392,10626.481,3088,34912,88752368,88752368,0.9379614003920959
CHIP CON,NA,9967.229,4720,24672,114543392,114543392,15576.303,3072,46592,153925024,153925024,0.6398969639971692
CHIP CON,NA,9967.229,4720,24672,114543392,114543392,7838.983,1856,32640,72236224,72236224,1.271495167166455
CHIP CON,NA,9967.229,4720,24672,114543392,114543392,7118.739,3664,18016,42456160,42456160,1.4001396876609749
CHIP CON,NA,9967.229,4720,24672,114543392,114543392,10832.323,2160,26208,124485056,124485056,0.9201377211517787
CHIP CON,NA,7099.181,4608,12464,40373040,40373040,7672.235,1712,24992,43632000,43632000,0.9253080751567176
CHIP CON,NA,7099.181,4608,12464,40373040,40373040,14916.611,2304,62336,118542304,118542304,0.4759245246792317
CHIP CON,NA,7099.181,4608,12464,40373040,40373040,9432.452,3584,27248,85740992,85740992,0.7526336736195424
CHIP CON,NA,7099.181,4608,12464,40373040,40373040,6053.583,1888,17360,43543424,43543424,1.172723823229978
CHIP CON,NA,7099.181,4608,12464,40373040,40373040,11531.664,2624,29040,181531456,181531456,0.6156250303512137
CHIP CON,NA,8901.968,5392,30064,70743936,70743936,7672.235,1712,24992,43632000,43632000,1.1602835418883808
CHIP CON,NA,8901.968,5392,30064,70743936,70743936,14916.611,2304,62336,118542304,118542304,0.596782204751468
CHIP CON,NA,8901.968,5392,30064,70743936,70743936,9432.452,3584,27248,85740992,85740992,0.9437596926016694
CHIP CON,NA,8901.968,5392,30064,70743936,70743936,6053.583,1888,17360,43543424,43543424,1.470528776098387
CHIP CON,NA,8901.968,5392,30064,70743936,70743936,11531.664,2624,29040,181531456,181531456,0.7719586696247827
CHIP CON,NA,8372.543,5232,20992,76106416,76106416,7672.235,1712,24992,43632000,43632000,1.0912782259667488
CHIP CON,NA,8372.543,5232,20992,76106416,76106416,14916.611,2304,62336,118542304,118542304,0.5612898935287646
CHIP CON,NA,8372.543,5232,20992,76106416,76106416,9432.452,3584,27248,85740992,85740992,0.8876316571767341
CHIP CON,NA,8372.543,5232,20992,76106416,76106416,6053.583,1888,17360,43543424,43543424,1.3830723061036745
CHIP CON,NA,8372.543,5232,20992,76106416,76106416,11531.664,2624,29040,181531456,181531456,0.7260481228034392
CHIP CON,NA,7014.513,4720,11744,50455392,50455392,7672.235,1712,24992,43632000,43632000,0.9142724382138973
CHIP CON,NA,7014.513,4720,11744,50455392,50455392,14916.611,2304,62336,118542304,118542304,0.47024843645785225
CHIP CON,NA,7014.513,4720,11744,50455392,50455392,9432.452,3584,27248,85740992,85740992,0.7436574286304346
CHIP CON,NA,7014.513,4720,11744,50455392,50455392,6053.583,1888,17360,43543424,43543424,1.15873739568781
CHIP CON,NA,7014.513,4720,11744,50455392,50455392,11531.664,2624,29040,181531456,181531456,0.608282811569952
CHIP CON,NA,9693.659,5072,20544,152597584,152597584,7672.235,1712,24992,43632000,43632000,1.2634726386769957
CHIP CON,NA,9693.659,5072,20544,152597584,152597584,14916.611,2304,62336,118542304,118542304,0.6498566598002723
CHIP CON,NA,9693.659,5072,20544,152597584,152597584,9432.452,3584,27248,85740992,85740992,1.0276923752169638
CHIP CON,NA,9693.659,5072,20544,152597584,152597584,6053.583,1888,17360,43543424,43543424,1.6013093402700518
CHIP CON,NA,9693.659,5072,20544,152597584,152597584,11531.664,2624,29040,181531456,181531456,0.8406123348720531
CHIP CON,NA,6821.172,4752,12528,40538224,40538224,8190.01,2384,21952,48673232,48673232,0.8328649171368533
CHIP CON,NA,6821.172,4752,12528,40538224,40538224,15992.112,3440,42560,138475696,138475696,0.42653353103079816
CHIP CON,NA,6821.172,4752,12528,40538224,40538224,8210.145,2432,28928,47643472,47643472,0.8308223545381962
CHIP CON,NA,6821.172,4752,12528,40538224,40538224,6806.963,2240,27280,41951312,41951312,1.0020874213654458
CHIP CON,NA,6821.172,4752,12528,40538224,40538224,8339.761,2784,26304,80537072,80537072,0.8179097698363298
CHIP CON,NA,9709.664,5424,42576,84075984,84075984,8190.01,2384,21952,48673232,48673232,1.1855497123935137
CHIP CON,NA,9709.664,5424,42576,84075984,84075984,15992.112,3440,42560,138475696,138475696,0.607153326590009
CHIP CON,NA,9709.664,5424,42576,84075984,84075984,8210.145,2432,28928,47643472,47643472,1.1826422066845348
CHIP CON,NA,9709.664,5424,42576,84075984,84075984,6806.963,2240,27280,41951312,41951312,1.4264311411711803
CHIP CON,NA,9709.664,5424,42576,84075984,84075984,8339.761,2784,26304,80537072,80537072,1.1642616616951014
CHIP CON,NA,7970.763,4752,23392,46254336,46254336,8190.01,2384,21952,48673232,48673232,0.9732299472161816
CHIP CON,NA,7970.763,4752,23392,46254336,46254336,15992.112,3440,42560,138475696,138475696,0.4984184077750331
CHIP CON,NA,7970.763,4752,23392,46254336,46254336,8210.145,2432,28928,47643472,47643472,0.9708431458884099
CHIP CON,NA,7970.763,4752,23392,46254336,46254336,6806.963,2240,27280,41951312,41951312,1.1709719885358567
CHIP CON,NA,7970.763,4752,23392,46254336,46254336,8339.761,2784,26304,80537072,80537072,0.955754367541228
CHIP CON,NA,6898.028,4768,12192,42512544,42512544,8190.01,2384,21952,48673232,48673232,0.8422490326629638
CHIP CON,NA,6898.028,4768,12192,42512544,42512544,15992.112,3440,42560,138475696,138475696,0.43133940032435997
CHIP CON,NA,6898.028,4768,12192,42512544,42512544,8210.145,2432,28928,47643472,47643472,0.8401834559560154
CHIP CON,NA,6898.028,4768,12192,42512544,42512544,6806.963,2240,27280,41951312,41951312,1.0133782128682058
CHIP CON,NA,6898.028,4768,12192,42512544,42512544,8339.761,2784,26304,80537072,80537072,0.8271253816506252
CHIP CON,NA,8588.827,5328,32784,82942304,82942304,8190.01,2384,21952,48673232,48673232,1.0486955449382844
CHIP CON,NA,8588.827,5328,32784,82942304,82942304,15992.112,3440,42560,138475696,138475696,0.5370664612654038
CHIP CON,NA,8588.827,5328,32784,82942304,82942304,8210.145,2432,28928,47643472,47643472,1.046123667730594
CHIP CON,NA,8588.827,5328,32784,82942304,82942304,6806.963,2240,27280,41951312,41951312,1.2617707779519294
CHIP CON,NA,8588.827,5328,32784,82942304,82942304,8339.761,2784,26304,80537072,80537072,1.029864884617197
CHIP CON,NA,6616.395,4624,12272,53288448,53288448,7632.332,1952,20224,61470800,61470800,0.8668903553985859
